288095	Adult/Arts/Animation/Anime/Titles/Reborn	10	<i>Reborn!</i>, also known as Katekyou Hitman Reborn! (家庭教師ヒットマンREBORN!), was created in 2004 by Akira Amano and serialised in <i>Weekly Shounen Jump</i> magazine, with volumes published by Shueisha. The anime series adaptation was produced by Artland and directed by Kenichi Imaizumi.   The story revolves around Tsunayoshi Sawada, a junior high school student who's a bit of a loser but turns out to be the next in line to become the boss of a powerful Italian mafia family, the Vongola. The series takes its name from Reborn, a scheming infant who happens to be a powerful hitman, who is sent to teach Tsuna how to become a respectable mafia leader.   The English-speaking online Reborn! fandom has a very active adult fanwork sector, producing predominantly yaoi works. 		
288097	Adult/Arts/Animation/Anime/Titles/Ronin_Warriors	0	Yaoi Ronin Warriors/Yoriden Samurai Troopers.   		
288086	Adult/Arts/Animation/Anime/Titles/Sailor_Moon	1	 		
288079	Adult/Arts/Animation/Anime/Titles/Saint_Tail	0	Adult-oriented sites based on the anime series Saint Tail.   		
288076	Adult/Arts/Animation/Anime/Titles/Slam_Dunk	0	Erotic and adult-oriented sites based on the anime series Slam Dunk.   		
288084	Adult/Arts/Animation/Anime/Titles/Slayers	0	Adult-oriented sites based on the anime series Slayers.   		
288085	Adult/Arts/Animation/Anime/Titles/Tenchi_Muyo	0	 		
288093	Adult/Arts/Animation/Anime/Titles/Weiß_Kreuz	1	 		
288096	Adult/Arts/Animation/Anime/Titles/Yami_no_Matsuei	0	 		
288016	Adult/Arts/Animation/Cartoons	16	Adult cartoons are categorized into three main categories.  Anime and Manga, Hentai, and our category, XToons.  From the 1920s until today the world has had a love of cartoons.  XToons are the adult version of cartoons (American based). 		
288017	Adult/Arts/Animation/Cartoons/Free	11	Please add sites with cartoon content that are free (not protected by avs or membership)   		
288018	Adult/Arts/Animation/Cartoons/Members	5	Submitters should provide an e-mail for editors to contact you concerning username and password for review, otherwise we will not list your site. For faster reviews, submitters should post a temporary login/password for editors to review your site.   		
287684	Adult/Arts/Art_History	5	This category covers all types of erotic art: painting, sculpture, and literature.   		
288009	Adult/Arts/Bodyart	0	For sites that use the human body as the canvas.  Includes sites with piercings and associated jewelry, body paint, tatoos and tatoo studios.   		
288010	Adult/Arts/Bodyart/Regional	0	This category contains links to countries with body art sites.   		
288111	Adult/Arts/Celebrities	9	The Adult/Arts/Celebrities category at the Open Directory Project lists websites which contain "adult", erotic, or sexually explicit material related to celebrities, sites should include information other than just image galleries.         If your site consists only of image galleries, please submit it to <a href="/Adult/Image_Galleries/Celebrities/">Adult/Image Galleries/Celebrities</a>.         Submitters with membership sites should submit using an e-mail address so that editors can request a username/password to fully review your site, otherwise we will not list your site.         All sites must comply with ODP guidelines. 		
288121	Adult/Arts/Celebrities/A	0	 		
288115	Adult/Arts/Celebrities/Athletes	0	This category is for listings of websites related to people noted primarily for their sport activity.   		
288129	Adult/Arts/Celebrities/B	0	 		
288130	Adult/Arts/Celebrities/C	0	 		
288198	Adult/Arts/Celebrities/D	0	 		
288116	Adult/Arts/Celebrities/E	0	 		
288112	Adult/Arts/Celebrities/F	0	 		
288118	Adult/Arts/Celebrities/G	0	 		
288119	Adult/Arts/Celebrities/H	0	 		
288120	Adult/Arts/Celebrities/H/Hilton,_Paris	0	 		
288131	Adult/Arts/Celebrities/I	0	 		
288132	Adult/Arts/Celebrities/J	0	 		
288133	Adult/Arts/Celebrities/K	0	 		
288197	Adult/Arts/Celebrities/L	0	 		
